Date,sumCTL,Year,substance,depressed,suicide,self_harm,stress_anxiety,relationship,bereavement,bully,isolated,eating,abuse,lgbtq,other,racism,covid_19,sexual_abuse,emotional_abuse,uspecified_abuse,Time
2019-08-01,123,248337,3,58,28,12,39,49,7,5,20,5,1,0,12,0,0,4,8,0,Before
2019-08-02,109,220071,4,53,28,13,52,48,6,1,34,1,3,2,13,0,0,3,7,0,Before
2019-08-03,103,207957,4,44,36,11,36,42,0,3,30,6,2,4,8,0,0,3,7,0,Before
2019-08-04,121,244299,6,54,41,11,29,37,2,1,21,10,4,1,14,0,0,1,3,0,Before
2019-08-05,135,272565,3,51,38,12,45,42,7,5,27,4,3,6,22,0,0,2,4,0,Before
2019-08-06,133,268527,2,52,35,13,42,55,8,3,29,7,4,5,13,0,0,7,7,0,Before
2019-08-07,155,312945,6,64,42,21,64,55,9,6,25,8,3,0,12,0,0,6,4,0,Before
2019-08-08,121,244299,3,46,32,14,40,51,6,4,29,6,1,0,17,0,0,2,2,0,Before
2019-08-09,121,244299,3,44,40,4,40,42,5,2,27,1,2,2,22,0,0,4,6,0,Before
2019-08-10,113,228147,2,42,33,11,37,40,9,5,19,3,3,3,14,0,0,5,6,0,Before
2019-08-11,104,209976,7,47,32,16,39,37,3,1,17,3,1,2,11,0,0,3,3,0,Before
2019-08-12,103,207957,7,36,35,14,36,44,1,7,27,2,2,2,14,0,0,3,3,0,Before
2019-08-13,120,242280,6,62,44,14,38,50,5,5,28,4,3,3,9,0,0,2,6,0,Before
2019-08-14,114,230166,7,53,31,7,48,53,5,5,19,4,1,4,12,0,0,4,4,0,Before
2019-08-15,102,205938,4,38,24,11,28,45,5,1,22,0,1,1,14,0,0,6,3,0,Before
2019-08-16,104,209976,3,45,23,5,32,41,4,6,22,6,1,3,13,0,0,3,4,0,Before
2019-08-17,97,195843,3,36,25,11,34,38,2,1,18,4,1,3,12,0,0,1,3,0,Before
2019-08-18,104,209976,5,49,30,10,37,34,7,0,28,1,2,2,12,0,0,3,6,0,Before
2019-08-19,117,236223,0,60,39,19,38,44,7,2,21,4,4,2,13,0,0,6,5,0,Before
2019-08-20,115,232185,6,42,40,10,42,37,2,3,24,2,1,4,9,0,0,4,4,0,Before
2019-08-21,119,240261,4,47,36,13,40,40,2,4,26,2,4,3,10,0,0,2,4,0,Before
2019-08-22,110,222090,5,39,38,12,33,44,11,2,29,1,3,1,16,0,0,4,11,0,Before
2019-08-23,132,266508,1,60,38,11,53,56,9,6,35,5,3,1,21,0,0,8,8,0,Before
2019-08-24,131,264489,0,59,48,15,47,60,6,4,32,5,4,2,17,0,0,3,7,0,Before
2019-08-25,133,268527,3,56,47,17,53,49,4,5,27,2,3,6,20,0,0,1,8,0,Before
2019-08-26,109,220071,5,47,34,11,36,39,1,4,30,2,1,1,16,0,0,1,5,0,Before
2019-08-27,131,264489,1,58,34,14,51,47,3,1,27,1,2,1,15,0,0,3,10,0,Before
2019-08-28,151,304869,5,62,47,18,58,69,6,4,40,3,7,8,16,0,0,6,10,0,Before
2019-08-29,124,250356,2,43,42,16,50,43,7,2,27,2,3,0,23,0,0,9,6,0,Before
2019-08-30,124,250356,2,49,37,13,42,45,5,5,35,1,2,0,13,0,0,4,5,0,Before
2019-08-31,106,214014,6,47,33,12,29,41,3,7,26,8,1,2,12,0,0,5,3,0,Before
2019-09-01,105,211995,8,38,30,16,44,40,4,4,27,5,3,1,7,0,0,1,9,0,Before
2019-09-02,135,272565,1,63,38,13,47,48,5,5,28,4,2,2,15,0,0,2,9,0,Before
2019-09-03,152,306888,7,61,45,17,53,50,7,5,29,6,2,6,15,0,0,4,8,0,Before
2019-09-04,141,284679,3,62,36,17,55,50,6,8,28,4,5,3,17,0,0,5,3,0,Before
2019-09-05,153,308907,5,67,47,20,52,57,4,3,34,6,2,3,14,0,0,2,7,0,Before
2019-09-06,114,230166,2,37,37,15,51,51,8,4,27,3,6,3,11,0,0,3,2,0,Before
2019-09-07,142,286698,2,55,42,19,42,64,6,3,35,3,0,2,17,0,0,1,0,0,Before
2019-09-08,140,282660,3,58,48,16,40,52,4,8,30,4,1,3,13,0,0,5,5,0,Before
2019-09-09,120,242280,5,47,40,22,40,51,8,1,24,3,1,3,14,0,0,1,6,0,Before
2019-09-10,149,300831,3,64,50,15,55,56,7,5,36,5,2,4,14,0,0,3,8,0,Before
2019-09-11,174,351306,3,77,52,18,61,56,12,1,40,3,2,3,22,0,0,2,1,0,Before
2019-09-12,148,298812,5,55,48,16,51,55,5,4,30,5,4,4,10,0,0,2,5,0,Before
2019-09-13,158,319002,2,63,38,13,59,61,9,9,30,5,3,3,15,0,0,5,9,0,Before
2019-09-14,129,260451,0,64,38,12,39,46,8,2,29,6,1,4,19,0,0,4,2,0,Before
2019-09-15,166,335154,2,78,62,24,57,66,7,4,41,8,2,4,12,0,0,2,6,0,Before
2019-09-16,169,341211,6,67,54,24,58,63,2,2,28,3,1,1,17,0,0,2,10,0,Before
2019-09-17,135,272565,3,49,44,10,61,53,9,3,28,5,4,0,20,0,0,6,8,0,Before
